0,1,2,3,4,5
276,225,87,267,137,313
359,423,461,309,70,172
364,3,86,301,76,108
303,101,304,198,239,69
317,433,242,203,474,65
93,106,365,90,231,170
254,49,316,267,376,257
395,178,57,205,161,335
368,275,283,422,168,254
360,471,307,484,398,40
49,354,493,217,332,487
388,285,90,296,326,264
493,42,76,85,402,76
251,292,363,376,162,152
408,411,500,233,446,268
22,101,488,324,435,205
17,376,252,255,264,464
212,469,261,313,397,51
168,113,496,191,221,213
11,333,450,346,42,348
410,299,207,154,146,340
133,140,108,106,240,372
349,342,201,153,467,218
97,193,245,33,64,29
305,109,345,466,133,192
16,446,19,102,308,98
163,91,423,428,154,500
276,492,152,69,194,310
150,379,415,270,294,42
98,396,261,318,141,279
440,290,481,83,121,210
444,277,345,43,283,142
85,76,83,74,60,402
187,122,19,435,132,412
229,407,130,50,79,38
318,384,136,317,275,145
412,210,500,1,418,377
137,357,286,192,205,177
480,216,343,33,143,380
390,291,165,139,312,497
41,181,132,411,379,287
17,368,167,47,112,306
315,29,47,100,464,447
360,86,131,386,79,347
230,357,161,482,64,488
226,480,179,218,415,7
259,265,239,262,194,99
276,460,467,206,437,393
258,352,101,482,285,68
88,445,2,120,453,428
246,419,179,109,158,343
63,261,462,362,428,216
148,402,283,7,450,279
94,425,83,117,367,461
454,302,284,383,231,71
153,317,430,286,292,189
270,180,248,178,252,198
216,129,403,168,118,395
70,130,383,20,71,395
462,223,225,165,486,187
439,400,420,224,68,74
459,480,39,304,224,161
497,236,136,489,16,388
88,18,384,327,259,437
224,331,482,211,233,128
378,359,86,164,436,430
396,256,34,35,104,425
381,268,135,334,415,85
262,146,39,16,353,25
196,90,178,319,237,38
359,264,216,313,233,460
438,450,61,390,145,307
164,319,354,90,330,382
20,325,117,465,38,68
25,410,180,258,35,371
283,27,49,290,62,123
320,237,399,186,228,491
448,433,382,166,88,371
305,48,438,180,378,173
41,484,199,362,361,416
183,495,86,354,272,459
401,393,173,267,19,31
318,346,434,302,170,167
352,150,247,202,312,426
471,37,441,88,446,185
61,374,450,425,99,85
277,23,172,248,252,92
226,443,370,351,428,435
147,132,208,182,370,80
389,459,306,223,27,236
452,164,452,1,203,446
462,460,224,42,44,420
