starting_x,starting_y,dx,dy,ending_x,ending_y
802,715,627,29,262.79557106980405,737.598487651439
662,560,828,420,67.30756838134565,638.9159153020678
750,337,160,610,767.7455365226169,853.6420347497228
32,386,180,249,95.52397980819971,163.29972696488846
256,757,752,607,262.1636505602383,226.1720938560093
302,156,107,760,403.6012084325005,42.05319867928801
104,862,45,311,70.76149104946893,617.5787080475646
264,660,344,842,188.80954877319016,7.372441030835681
160,398,78,127,183.58292357923963,281.02112666462205
465,348,353,196,430.5609222778155,496.90056538462346
153,786,525,411,10.105902243066614,419.0072524041907
380,820,362,165,87.28986225419715,755.551179400046
780,683,168,647,657.8857817893016,998.2661014034393
408,791,670,211,-43.78170855977341,704.7797211021913
638,409,791,781,305.346577525416,327.53519035755056
408,858,809,771,88.26202335613844,286.3577263937241
76,695,337,835,9.237465103558517,-38.8709641640713
469,107,211,757,663.3215311363655,642.3594208851026
419,366,467,116,650.1543313338722,396.61720372537013
177,303,29,458,191.88192058022054,4.899519437232071
225,361,264,510,424.7572887124678,184.4187577552666
638,565,711,130,99.62583912997334,650.3741406038794
408,395,872,734,336.3238727796869,523.4660887325947
864,203,178,679,925.416593252312,831.9147786958758
87,888,18,476,73.31467429738537,496.97555796317965
202,114,303,348,487.317104722327,37.73091785488719
401,663,781,689,583.5631473001415,235.44566746613546
558,385,250,721,467.3515336116329,629.1178510825576
814,512,828,203,196.0882674203283,693.1758193813519
151,561,377,239,212.70616534519695,327.58208101819685
307,786,64,802,250.56176044172975,180.74611003246412
165,660,112,160,113.6666735124885,514.5858668714435
474,72,70,56,543.070846609968,79.58604180431298
495,57,502,246,880.410658161909,156.49846517678145
782,832,166,885,641.330067892523,1143.510599595151
773,48,675,720,922.6850318003598,698.3266750170491
416,74,692,254,947.8901555971588,134.40409785012287
685,870,817,858,3.140857077462824,592.463818871413
762,763,900,824,24.95355604788282,659.2326419252228
25,290,428,129,303.4095193837889,177.23220300996132
232,882,563,78,-153.66994890202304,841.4803642052279
727,129,116,886,803.5319684819525,879.802363516891
382,435,775,744,454.741798799448,516.4923940984971
809,184,88,820,854.1959037930317,902.711523614533
594,378,336,105,557.4963864296606,480.1309270698988
404,515,372,667,521.5692564354757,642.4087607336354
565,777,165,379,402.3961904902684,762.8799560997879
145,419,296,554,301.51304439189823,73.40047213825474
667,409,184,470,626.7173369804455,760.3710790884276
215,434,284,82,334.7707175557039,354.7492158094977
312,344,442,570,625.1053110482444,575.7610949494253
42,68,719,27,685.5239630887975,48.72682169234379
319,855,308,457,83.43906427810812,529.6237041182378
41,629,517,223,31.23430102210061,411.26937927382846
211,326,805,118,818.9792183014684,236.1530110101619
665,229,867,250,751.7663973485153,453.4372559465231
475,882,266,451,221.1968378319129,708.703044106058
128,430,68,379,139.20594579488161,109.84752491441101
260,617,189,544,196.74884175330044,148.86698716161993
281,480,101,537,292.4680738495112,116.8193653780575
557,50,353,90,845.5161925429303,82.38439982170131
133,862,844,440,-96.14301383956054,485.8243031311289
785,246,95,512,824.2613711453737,724.4937724735179
287,773,374,46,22.351801657933684,749.7793006000712
712,882,361,301,364.91130899182065,954.8961733485042
272,648,697,486,502.1680152602311,227.57504705201382
881,75,761,755,917.1038429184747,775.1920773566665
545,208,286,476,709.2835609322452,605.6911533726386
158,98,73,327,217.61213048295724,-60.121117418413334
696,697,1,319,695.2914603827446,883.1801664663756
351,583,825,589,690.2198533456386,364.00615506031227
850,803,350,626,551.7989433636503,1024.3309220208682
523,391,855,451,649.1040782154871,373.2260545409396
519,789,314,3,221.59664015858775,789.5898492558183
245,116,159,229,393.3961190974871,52.02891159051082
549,604,520,32,151.58193617910896,618.9473837672023
381,278,852,121,909.0982383988002,271.11671641987857
111,104,547,254,617.8446749850808,-19.47412616160821
123,733,329,511,17.642899776077808,254.1013173608093
428,145,891,374,897.8474491408701,324.7888410893627
715,317,541,417,515.2435022540928,689.9357048741006
263,772,787,142,-139.96371735338252,679.4180931541861
104,887,147,550,1.9494155690231678,407.17692761692365
519,883,868,814,20.89787490400619,394.9133829509547
739,292,547,597,582.3649036307864,772.0319881637363
515,790,216,723,304.0523850615771,426.69832499426093
215,16,82,294,289.97906831969226,-81.67881937616708
890,196,771,66,1143.2933661974564,255.110388365186
455,500,874,514,631.9033749491136,396.3340783094127
509,454,32,176,498.7737684302403,562.9246814365326
582,301,55,53,617.7490066154271,340.8937068958728
243,2,404,696,635.7032838211522,116.23870795976013
8,601,745,855,308.9001168932414,-28.223855846576104
150,847,685,198,-186.90939225505076,699.8710435607502
612,344,439,370,428.4856181593069,638.8012299686111
678,274,63,303,710.8516298126361,560.0639355048944
394,428,760,251,224.89547966862358,510.4884429365547
163,261,108,187,235.36606917033473,134.61865576996382
595,437,708,395,206.72166681174778,524.3157245632415
328,567,763,585,670.1655176866527,373.76352869776304
463,176,177,639,625.2971077782795,629.3493025415627
721,307,711,314,411.9896775064605,607.3692360653585
558,524,119,843,458.2324968688313,620.5761508545381
747,717,60,372,703.7443783769193,927.5377620876742
500,701,775,624,357.4890312640717,291.3360947708525
119,499,812,822,667.5129036962236,200.6646604642545
343,174,299,472,626.93286183657,333.5726041262475
800,255,384,100,904.6591917411653,347.4479538435418
808,336,551,308,637.396740109312,633.9572548807093
172,880,717,698,-22.042836712250416,266.7964633158282
888,721,96,549,830.2697633733075,1075.6697070117107
780,815,885,419,-11.818031909862386,939.173863320643
274,846,892,707,158.13590842128386,250.52478606393763
248,824,521,457,24.326075792283234,450.48063057628036
